,variable,instances,pos_instances,neg_instances,percent_fraud
519,blsurgical,2,0.0,2.0,0.0
520,parracity,2,0.0,2.0,0.0
521,marysee-art-excellence,1,0.0,1.0,0.0
522,shakers,2,0.0,2.0,0.0
523,multiplicityaccelerator,2,0.0,2.0,0.0
524,nhs,1,0.0,1.0,0.0
525,gracechurchonthehill,1,0.0,1.0,0.0
526,techie,3,2.0,1.0,66.66666666666667
527,fancyhospitality,1,0.0,1.0,0.0
528,irunsolutions,1,0.0,1.0,0.0
529,marshill,3,0.0,3.0,0.0
530,albanyny,1,0.0,1.0,0.0
531,softwire,1,0.0,1.0,0.0
532,npg,8,0.0,8.0,0.0
533,mtcubacenter,1,0.0,1.0,0.0
534,videotron,4,0.0,4.0,0.0
535,anticlondon,1,0.0,1.0,0.0
536,inconstruction,2,0.0,2.0,0.0
537,blackbridgecrossborders,1,0.0,1.0,0.0
538,hma,1,0.0,1.0,0.0
539,divinecomedie,3,0.0,3.0,0.0
540,jazzinaz,3,0.0,3.0,0.0
541,sju,1,0.0,1.0,0.0
542,amproductionsllc,1,0.0,1.0,0.0
543,outlookfestival,7,0.0,7.0,0.0
544,carminacristina,1,0.0,1.0,0.0
545,alphabetrockers,1,0.0,1.0,0.0
546,kathleendavenport,1,0.0,1.0,0.0
547,executivepa,1,0.0,1.0,0.0
548,wearenoted,1,0.0,1.0,0.0
549,kingston,2,0.0,2.0,0.0
550,ywcaaustin,1,0.0,1.0,0.0
551,lindyhopcardiff,2,0.0,2.0,0.0
552,fitnessbybrian,1,0.0,1.0,0.0
553,bitterandesters,7,0.0,7.0,0.0
554,cs,8,3.0,5.0,37.5
555,sullivanhardware,1,0.0,1.0,0.0
556,lvbg,1,0.0,1.0,0.0
557,expo4life,1,0.0,1.0,0.0
558,theorghouston,1,0.0,1.0,0.0
559,cyclonespeedrope,1,0.0,1.0,0.0
560,indydba,1,0.0,1.0,0.0
561,winterofficesupport,1,0.0,1.0,0.0
562,aiaportland,1,0.0,1.0,0.0
563,mtcdd,1,0.0,1.0,0.0
564,jhilburn,21,0.0,21.0,0.0
565,corksandcanvasevents,3,0.0,3.0,0.0
566,ifak,1,0.0,1.0,0.0
567,fury-mma,1,0.0,1.0,0.0
568,smarterbusinessconsultancy,1,0.0,1.0,0.0
569,cambridgesciencecentre,1,0.0,1.0,0.0
570,seilevel,1,0.0,1.0,0.0
571,capitalb,1,0.0,1.0,0.0
572,zislisgroup,1,0.0,1.0,0.0
573,aarts,1,0.0,1.0,0.0
574,windsorwyeth,1,0.0,1.0,0.0
575,att,16,4.0,12.0,25.0
576,nexatlanta,1,0.0,1.0,0.0
577,basementgalley,3,0.0,3.0,0.0
578,go-ar,1,0.0,1.0,0.0
579,aiapv,1,0.0,1.0,0.0
580,jimmccarthy,1,0.0,1.0,0.0
581,cfarochester,1,0.0,1.0,0.0
582,faithflowers,1,0.0,1.0,0.0
583,kcfedsoc,1,0.0,1.0,0.0
584,jacksonhewittny,1,0.0,1.0,0.0
585,londonmodelacademy,1,0.0,1.0,0.0
586,superiorambulance,1,0.0,1.0,0.0
587,tribecacinemas,5,0.0,5.0,0.0
588,85broads,2,0.0,2.0,0.0
589,qip,2,2.0,0.0,100.0
590,swamp,1,0.0,1.0,0.0
591,newbeginningsprogram,2,0.0,2.0,0.0
592,acgov,1,0.0,1.0,0.0
593,bustoshow,9,0.0,9.0,0.0
594,csgrandprix,3,0.0,3.0,0.0
595,careered,4,0.0,4.0,0.0
596,sue-preston,1,0.0,1.0,0.0
597,boothphoto,1,0.0,1.0,0.0
598,rock,1,1.0,0.0,100.0
599,social4,1,0.0,1.0,0.0
600,richlandcreek,1,0.0,1.0,0.0
601,thebodycompound,1,0.0,1.0,0.0
602,virtuallygreen,1,0.0,1.0,0.0
603,nsta,1,0.0,1.0,0.0
604,nrwrevolution,1,0.0,1.0,0.0
605,firstphc,1,0.0,1.0,0.0
606,mccscp,1,0.0,1.0,0.0
607,comic,1,0.0,1.0,0.0
608,hookah-club,1,0.0,1.0,0.0
609,supperclub,1,0.0,1.0,0.0
610,foundationsllc,1,0.0,1.0,0.0
611,gianteagle,12,0.0,12.0,0.0
612,bowerbird,3,0.0,3.0,0.0
613,btinternet,6,0.0,6.0,0.0
614,eventsandpr,2,0.0,2.0,0.0
615,profitablepropertyusa,2,0.0,2.0,0.0
616,richmondchamberofcommerce,1,0.0,1.0,0.0
617,estesparkfilm,1,0.0,1.0,0.0
618,sevendaysystems,1,0.0,1.0,0.0
619,californiahouse,2,0.0,2.0,0.0
620,bemis,1,0.0,1.0,0.0
